stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
323,323,Victoria at Delta southbound,Victoria Road North,43.574159,-80.255077,,,,,,0
324,324,Victoria at Speedvale southbound,Victoria Road North,43.57071,-80.250333,,,,,,0
325,325,Victoria at Eramosa southbound,Victoria Road North,43.569197,-80.24827,,,,,,0
326,326,Victoria at Greenview southbound,Victoria Road North,43.566699,-80.244721,,,,,,0
327,327,Eastview at Glenburnie eastbound,Eastview Road,43.565338,-80.241303,,,,,,0
328,328,Eastview at Mountford eastbound,Eastview Road,43.56739,-80.238495,,,,,,0
330,330,Eastview at Summit Ridge eastbound,Eastview Road,43.572643,-80.231323,,,,,,0
332,332,Watson at Fleming southbound,Watson Parkway North,43.570547,-80.213893,,,,,,0
333,333,Watson at Starwood southbound,Watson Parkway North,43.566581,-80.211749,,,,,,0
335,335,York at Yorkhaven westbound,York Road,43.558471,-80.21502,,,,,,0
337,337,York at Beaumont westbound,York Road,43.554924,-80.219884,,,,,,0
338,338,Victoria at York southbound,Victoria Road South,43.551612,-80.223545,,,,,,0
339,339,Stone at Victoria westbound,Stone Road East,43.53918,-80.208169,,,,,,0
340,340,Stone at Oakdale westbound,Stone Road East,43.533148,-80.216165,,,,,,0
352,352,Gordon at Wellington southbound,Gordon Street,43.540845,-80.245334,,,,,,0
356,356,Gordon at College southbound,Gordon Street,43.531515,-80.231847,,,,,,0
358,358,Stone at Oakdale eastbound,Stone Road East,43.533112,-80.215957,,,,,,0
359,359,Stone at Victoria eastbound,Stone Road East,43.538299,-80.208982,,,,,,0
360,360,York at Victoria eastbound,ARTHUR STREET SOUTH,43.55224,-80.22332,,,,,,0
361,361,York at Beaumont eastbound,York Road,43.554548,-80.220176,,,,,,0
363,363,785 York eastbound,785 York Road,43.558741,-80.21437,,,,,,0
365,365,Watson at Starwood northbound,Watson Parkway North,43.566566,-80.21151,0,,,,,0
366,366,Watson at Fleming northbound,Watson Parkway North,43.570315,-80.213286,,,,,,0
367,367,Watson at Grange northbound,Watson Parkway North,43.574104,-80.218562,,,,,,0
368,368,Watson at Eastview northbound,Watson Parkway North,43.57761,-80.223441,0,,,,,0
369,369,Eastview at Summit Ridge westbound,Eastview Road,43.572703,-80.231437,,,,,,0
370,370,Eastview at Starwood westbound,Eastview Road,43.569986,-80.235208,0,,,,,0
371,371,Eastview at Mountford westbound,Eastview Road,43.567519,-80.238584,,,,,,0
372,372,Eastview at Victoria westbound,Eastview Road,43.565208,-80.241743,,,,,,0
374,374,Victoria at Eramosa northbound,Victoria Road North,43.569646,-80.248602,,,,,,0
375,375,Victoria at Speedvale northbound,Victoria Road North,43.571979,-80.251797,,,,,,0
377,377,Victoria at Woodlawn northbound,Victoria Road North,43.578139,-80.260243,,,,,,0
378,378,Victoria at Norma northbound,Victoria Road North,43.580598,-80.263658,,,,,,0
379,379,Inverness at Wilton southbound,Inverness Drive,43.579028,-80.266687,,,,,,0
380,380,Inverness at Woodlawn southbound,Inverness Drive,43.576245,-80.262489,,,,,,0
381,381,Woodlawn at Golfview westbound,Woodlawn Road East,43.573979,-80.265171,,,,,,0
382,382,Woodlawn at Country Club westbound,Woodlawn Road East,43.571818,-80.268227,,,,,,0
383,383,Woodlawn at Speed River westbound,Woodlawn Road East,43.568331,-80.273068,,,,,,0
384,384,Woodlawn at Woolwich westbound,Woodlawn Road East,43.565977,-80.276332,,,,,,0
386,386,Nicklin at Burns southbound,Nicklin Road,43.558397,-80.280158,,,,,,0
387,387,Bailey at Freeman eastbound,86 Bailey Avenue,43.557298,-80.276244,,,,,,0
388,388,Kathleen at Speedvale southbound,Kathleen Street,43.555872,-80.272986,,,,,,0
389,389,Westmount at Kimberley southbound,Westmount Road,43.553252,-80.274226,,,,,,0
390,390,Saint Joseph's Health Centre,Westmount Road,43.550465,-80.272062,,,,,,0
391,391,Westmount at Division southbound,Westmount Road,43.550128,-80.269907,,,,,,0
392,392,Westmount at Summit southbound,Westmount Road,43.54858,-80.26777,,,,,,0
393,393,Westmount at London southbound,Westmount Road,43.545511,-80.263497,,,,,,0
394,394,Yorkshire at Home southbound,Yorkshire Street North,43.545859,-80.2614,,,,,,0
395,395,Suffolk at Glasgow eastbound,Suffolk Street West,43.545373,-80.258587,,,,,,0
396,396,Suffolk at Dublin eastbound,Suffolk Street West,43.546341,-80.256684,,,,,,0
397,397,Woolwich at Cardigan southbound,Woolwich Street,43.548027,-80.251684,,,,,,0
401,401,Neeve at Ontario eastbound,Neeve Street,43.544156,-80.24095,,,,,,0
402,402,Ontario at Manitoba eastbound,Ontario Street,43.544709,-80.237312,,,,,,0
403,403,Ontario at Wood eastbound,Ontario Street,43.545206,-80.23469,0,,,,,0
404,404,Ontario at York eastbound,Ontario Street,43.545561,-80.232785,,,,,,0
405,405,York at Morris eastbound,York Road,43.546953,-80.230487,,,,,,0
406,406,York at Brockville eastbound,DUKE STREET,43.549091,-80.227631,,,,,,0
407,407,York at Audrey eastbound,York Road,43.550796,-80.225343,,,,,,0
410,410,York at Cityview eastbound,York Road,43.556909,-80.216882,,,,,,0
412,412,York at Watson eastbound,ALICE STREET,43.561531,-80.210539,,,,,,0
413,413,987 York eastbound,987 York Road,43.563399,-80.208031,,,,,,0
